conversation_id,title,total_messages,user_messages,assistant_messages,user_assistant_ratio,duration_minutes,active_days,messages_per_hour,avg_user_message_length,median_user_message_length,max_user_message_length,avg_user_words,total_user_words,first_hour,first_day,first_month,first_year,peak_user_hour,technical_term_count,primary_intent,primary_intent_score,depth_score,builder_score,learning_score,troubleshooting_score,technical_score,interaction_intensity,persistence_score,iteration_score,conversation_type,is_builder,is_learner,is_troubleshooter,is_researcher,is_creator,is_planner,dna_depth,dna_technical,dna_iteration,dna_persistence,dna_intensity,dna_builder,dna_learner,dna_troubleshooter,dna_researcher,dna_creator,dna_explorer
6835b17f-40fc-8004-a04c-1eb86bb4fb77,Copy GitHub Link Resume,18,9,9,1.0,15.075114716666668,1,71.64124587430032,60.77777777777778,12.0,423,10.333333333333334,93,12,Tuesday,May,2025,12,7,build,3,56.708160442600274,91.2863070539419,38.09128630705394,49.543568464730285,82.57261410788381,46.47302904564315,51.86721991701245,69.29460580912863,Builder,1,0,0,0,0,0,0.8719687629443903,0.25257349344964913,0.9287573194534808,0.023550705064864244,0.016282463159542366,40.380815931669915,0.7553285650521948,0.376628155538889,0.9846208910138348,0.7553285650521948,0.7324413946234228
6835b736-07c0-8004-84fd-e0cdf4e9b9e3,Education Details Summary,20,10,10,1.0,16.143247433333332,1,74.33448597970343,90.5,32.0,539,13.4,134,12,Tuesday,May,2025,13,21,build,3,57.60719225449515,94.81327800829877,43.40248962655602,53.77593360995851,89.62655601659752,47.71784232365145,52.365145228215766,71.36929460580913,Builder,1,0,0,0,0,0,0.9761768135149371,0.7051372537938136,1.0412600303621773,0.025219367562837658,0.016894576785720372,40.63159211174027,1.123083107324005,0.6581863534091197,1.4650480403014878,1.123083107324005,1.003988204883757
6836a46f-e138-8004-88f4-a95d88561f35,NVD CPE API Design,2,1,1,1.0,0.0188140666666666,1,6378.206377497688,0.0,0.0,0,0.0,0,5,Wednesday,May,2025,5,0,other,0,20.74688796680498,10.477178423236516,0.6224066390041494,12.572614107883815,20.95435684647303,92.5311203319502,22.738589211618255,9.75103734439834,Explorer,0,0,0,0,0,0,0.03194685007015528,0.0,0.02873563218390805,2.939178530081071e-05,1.4496245716857243,0.015964240102171137,0.0,0.0,0.0,0.0,0.012786087974387315
68493691-33d8-8004-b826-e978f53599b2,React Frontend Backend Database,40,20,20,1.0,84.66112591666666,1,28.348311861129268,151.25,50.0,1276,15.95,319,7,Wednesday,June,2025,8,6,troubleshoot,7,68.32641770401106,39.73029045643153,48.29875518672199,87.67634854771784,79.46058091286307,26.970954356846477,63.07053941908714,85.47717842323651,Problem Solver,0,0,1,0,0,0,2.074728347286688,0.30326684116359004,2.1662871394491434,0.1322596374486241,0.00644294132354888,0.7163972353558221,1.9114450228483024,40.704674986868014,2.4714712981835407,1.9114450228483024,1.8385107918109198
684ebf5d-2e44-8004-9ac5-fca96fbb28b1,FlashTalk Nerves Solution,23,11,12,0.9166666666666666,30.9386982,1,44.60433309375635,56.72727272727273,28.0,185,10.727272727272728,118,12,Sunday,June,2025,12,0,other,0,60.7192254495159,10.477178423236516,37.71784232365145,12.572614107883815,20.95435684647303,36.09958506224066,56.099585062240656,74.06639004149378,Explorer,0,0,0,0,0,0,1.1257165598209873,0.04279186712762614,1.182498373454782,0.04833317491066873,0.010137573704808734,0.351213282247765,0.7163037774762081,0.3144654088050315,0.9265437918831934,0.7163037774762081,0.7826730649043517
684ec6b2-1920-8004-b0a7-fa08e5c07a03,Chocolate Face Mask Tips,6,3,3,1.0,3.58236905,1,100.49215895274666,26.666666666666668,20.0,43,6.333333333333333,19,13,Sunday,June,2025,13,1,other,0,38.31258644536653,26.45228215767635,14.149377593360995,31.74273858921162,52.9045643153527,56.43153526970954,39.66804979253112,34.75103734439834,Explorer,0,0,0,0,0,0,0.2417565423988608,0.03815417301714727,0.25374105400130126,0.005596462681426465,0.022839634570871476,0.09545317907271365,0.32349837887780736,0.08075820011741541,0.426737694574789,0.32349837887780736,0.28232077766793606
684ee81c-3bb4-8004-894c-7ac6fa07bfe9,Full Stack Roadmap,95,44,51,0.8627450980392157,95.29581493333332,1,59.81374947039997,553.8409090909091,372.0,2324,37.22727272727273,1638,15,Sunday,June,2025,16,69,troubleshoot,38,71.36929460580913,47.71784232365145,56.01659751037344,97.26141078838174,95.4356846473029,43.98340248962656,63.81742738589213,93.15352697095436,Problem Solver,0,0,1,0,0,0,4.7845745885314965,2.7512221801385324,5.0675016265452175,0.14887340319404632,0.013594336060189236,2.5792450903722868,7.1696548690847415,42.584894424453864,9.1635337330449,7.1696548690847415,6.054717470003454
68543705-7524-8004-ab7b-10aa014f57ac,Backtracking in Rat Maze,9,4,5,0.8,32.52341826666667,1,16.603420820419956,176.25,192.0,274,50.5,202,16,Thursday,June,2025,16,1,learn,1,52.4896265560166,26.45228215767635,87.96680497925311,31.74273858921162,52.9045643153527,21.99170124481328,56.59751037344398,46.2655601659751,Learner,0,1,0,0,0,0,0.40510790901938365,0.10451783135914375,0.3949793970939059,0.05080886253241379,0.003773588587574335,0.14334589937922707,42.16583595146029,0.11220474099791855,2.8389453524567663,2.1658359514602883,1.5714662022269612
68944e80-a1f4-8326-9c15-1f4725045c25,Student guidance plan,51,25,26,0.9615384615384616,37.16699483333333,1,82.33111161453466,93.44,45.0,947,16.12,403,7,Thursday,August,2025,7,4,planning,4,66.9432918395574,36.82572614107884,46.39004149377593,44.190871369294605,73.65145228215768,53.11203319502075,58.3402489626556,89.41908713692946,Planner,0,0,0,0,0,1,2.5761097172563354,0.27120093402395984,2.7575363261765347,0.058063168998604475,0.018712032089725626,0.8607399193559887,1.25554010862635,0.826177454557712,1.576623407815736,1.25554010862635,1.5046279276703811
68a9e2a9-b19c-8328-8256-444a4d24f0af,Fake news detection model,32,16,16,1.0,72.08263825,1,26.6360949961484,24.5625,13.5,124,3.5625,57,15,Saturday,August,2025,16,1,learn,1,66.39004149377594,26.45228215767635,59.87551867219917,31.74273858921162,52.9045643153527,25.311203319502077,61.825726141078846,82.05394190871368,Learner,0,1,0,0,0,0,1.6497862921710909,0.05193460480400992,1.7162762958143571,0.11260922292327442,0.006053792479402394,0.5105234217291632,40.31229644780419,0.4895632315639563,0.40261483195204956,0.31229644780418414,0.6604153978649375
