conversation_id,title,total_messages,user_messages,assistant_messages,user_assistant_ratio,duration_minutes,active_days,messages_per_hour,avg_user_message_length,median_user_message_length,max_user_message_length,avg_user_words,total_user_words,first_hour,first_day,first_month,first_year,peak_user_hour,technical_term_count,primary_intent,primary_intent_score,depth_score,builder_score,learning_score,troubleshooting_score,technical_score,interaction_intensity,persistence_score,iteration_score,conversation_type
6835b17f-40fc-8004-a04c-1eb86bb4fb77,Copy GitHub Link Resume,18,9,9,1.0,15.075114716666668,1,71.64124587430032,60.77777777777778,12.0,423,10.333333333333334,93,12,Tuesday,May,2025,12,7,build,3,56.708160442600274,91.2863070539419,38.09128630705394,49.543568464730285,82.57261410788381,46.47302904564315,51.86721991701245,69.29460580912863,Builder
6835b736-07c0-8004-84fd-e0cdf4e9b9e3,Education Details Summary,20,10,10,1.0,16.143247433333332,1,74.33448597970343,90.5,32.0,539,13.4,134,12,Tuesday,May,2025,13,21,build,3,57.60719225449515,94.81327800829877,43.40248962655602,53.77593360995851,89.62655601659752,47.71784232365145,52.365145228215766,71.36929460580913,Builder
6836a46f-e138-8004-88f4-a95d88561f35,NVD CPE API Design,2,1,1,1.0,0.0188140666666666,1,6378.206377497688,0.0,0.0,0,0.0,0,5,Wednesday,May,2025,5,0,other,0,20.74688796680498,10.477178423236515,0.6224066390041494,12.572614107883817,20.95435684647303,92.5311203319502,22.738589211618258,9.751037344398341,Explorer
68493691-33d8-8004-b826-e978f53599b2,React Frontend Backend Database,40,20,20,1.0,84.66112591666666,1,28.348311861129268,151.25,50.0,1276,15.95,319,7,Wednesday,June,2025,8,6,troubleshoot,7,68.32641770401106,39.73029045643153,48.29875518672199,87.67634854771784,79.46058091286307,26.970954356846473,63.07053941908714,85.47717842323651,Problem Solver
684ebf5d-2e44-8004-9ac5-fca96fbb28b1,FlashTalk Nerves Solution,23,11,12,0.9166666666666666,30.9386982,1,44.60433309375635,56.72727272727273,28.0,185,10.727272727272728,118,12,Sunday,June,2025,12,0,other,0,60.7192254495159,10.477178423236515,37.71784232365145,12.572614107883817,20.95435684647303,36.09958506224066,56.099585062240656,74.06639004149378,Explorer
684ec6b2-1920-8004-b0a7-fa08e5c07a03,Chocolate Face Mask Tips,6,3,3,1.0,3.58236905,1,100.49215895274666,26.666666666666668,20.0,43,6.333333333333333,19,13,Sunday,June,2025,13,1,other,0,38.31258644536653,26.45228215767635,14.149377593360997,31.74273858921162,52.9045643153527,56.43153526970954,39.66804979253112,34.75103734439834,Explorer
684ee81c-3bb4-8004-894c-7ac6fa07bfe9,Full Stack Roadmap,95,44,51,0.8627450980392157,95.29581493333332,1,59.81374947039997,553.8409090909091,372.0,2324,37.22727272727273,1638,15,Sunday,June,2025,16,69,troubleshoot,38,71.36929460580913,47.71784232365145,56.016597510373444,97.26141078838174,95.4356846473029,43.983402489626556,63.817427385892124,93.15352697095435,Problem Solver
68543705-7524-8004-ab7b-10aa014f57ac,Backtracking in Rat Maze,9,4,5,0.8,32.52341826666667,1,16.603420820419956,176.25,192.0,274,50.5,202,16,Thursday,June,2025,16,1,learn,1,52.489626556016596,26.45228215767635,87.96680497925311,31.74273858921162,52.9045643153527,21.991701244813278,56.59751037344398,46.2655601659751,Learner
68944e80-a1f4-8326-9c15-1f4725045c25,Student guidance plan,51,25,26,0.9615384615384616,37.16699483333333,1,82.33111161453466,93.44,45.0,947,16.12,403,7,Thursday,August,2025,7,4,planning,4,66.9432918395574,36.82572614107884,46.39004149377593,44.190871369294605,73.65145228215768,53.11203319502075,58.3402489626556,89.41908713692946,Planner
68a9e2a9-b19c-8328-8256-444a4d24f0af,Fake news detection model,32,16,16,1.0,72.08263825,1,26.6360949961484,24.5625,13.5,124,3.5625,57,15,Saturday,August,2025,16,1,learn,1,66.39004149377594,26.45228215767635,59.87551867219917,31.74273858921162,52.9045643153527,25.311203319502074,61.825726141078846,82.05394190871368,Learner
68d3db8b-2e4c-8327-a57b-3b5635b037d5,Explain PDF tasks,16,8,8,1.0,13.293423533333334,1,72.21615993749049,11.0,6.5,44,2.75,22,11,Wednesday,September,2025,12,2,learn,2,54.28769017980636,33.29875518672199,48.25726141078838,39.95850622406639,66.59751037344398,46.88796680497925,50.12448132780083,65.35269709543569,Learner
68d3e227-4c64-832a-82c0-912dcda7e97b,Set margins in doc,4,2,2,1.0,1.5991052,1,150.08393444033572,100.5,100.5,180,17.5,35,12,Wednesday,September,2025,12,0,build,1,31.3969571230982,60.477178423236516,38.25726141078839,12.572614107883817,20.95435684647303,65.14522821576763,33.44398340248963,24.5850622406639,Builder
68f71fde-79a8-8324-abf3-24ab6aa5b0f9,Suggest final year project,23,10,13,0.7692307692307693,87.11229326666667,1,15.841621753379483,1503.6,30.5,14772,217.1,2171,5,Tuesday,October,2025,6,49,learn,15,64.73029045643153,46.2655601659751,98.83817427385893,55.51867219917012,92.5311203319502,21.16182572614108,63.3195020746888,72.9253112033195,Learner
